Nombre,Fabricante,Referencia,Rating,Valoraciones,Precio Actual,Precio Antes,URL
Lubricante Orgánico Base Agua 150 ml,Diversual Basics,98172,Currently 4.45/5,(475 votos),"12,70 €",,https://www.diversual.com/es/lubricante-organico-base-agua-150-ml-98172.html
Lubricante Orgánico Base Agua 60 ml,Diversual Basics,100530,Currently 3.86/5,(66 votos),"5,50 €",,https://www.diversual.com/es/lubricante-organico-base-agua-60-ml-100530.html
Lubricante Sativa,S Pleasures,101695,Currently 3.50/5,(2 votos),"12,10 €",,https://www.diversual.com/es/lubricante-sativa-101695.html
Pjur Analyse Me Relajante Anal 30 Ml.,Pjur,89205,Currently 4.40/5,(460 votos),"8,20 €",,https://www.diversual.com/es/89205-pjur-analyse-me-relajante-anal-30-ml.html
Anal Lube 100 ml,Cobeco Pharma,92323,Currently 4.30/5,(159 votos),"8,40 €",,https://www.diversual.com/es/92323-anal-lube-lubricante-anal-agua-100-ml.html
Lubricante Aloe Vera Base Agua 30 ml,Bijoux Indiscrets,101676,Currently 4.00/5,(1 votos),"14,00 €",,https://www.diversual.com/es/lubricante-aloe-vera-base-agua-30-ml-101676.html
Multiorgasmico Mujer Saninex 200 ml.,Saninex,91292,Currently 4.41/5,(458 votos),"21,00 €",,https://www.diversual.com/es/91292-lubricante-multiorgasmico-mujer-saninex-120-ml.html
Lubricante Anal Orgánico 150 ml,Diversual Basics,98948,Currently 4.07/5,(125 votos),"11,90 €",,https://www.diversual.com/es/lubricante-anal-organico-150-ml-98948.html
Lubricante Coco Base Agua 30 ml,Bijoux Indiscrets,101675,Currently 4.00/5,(1 votos),"14,00 €",,https://www.diversual.com/es/lubricante-coco-base-agua-30-ml-101675.html
Aquaglide 200 Ml,Joy Division,42,Currently 4.43/5,(178 votos),"12,50 €",,https://www.diversual.com/es/aquaglide-lubricante-200-ml-42.html
